,train_prefix,mean_response_length_train_prefix_base,eval_prefix,mean_response_length_eval_prefix_base,model_id,model_type,generation_prefix,n_samples,mean_response_length,std_response_length,ci_95,model_name,batches_combined,median_response_length,timestamp,start_idx,n_errors,eval_response_uplift_ratio,sft_length,train_mean_ratio,sft_length_baseline
0,short,345.267,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,526.705,347.777,21.56,ft_short,2.0,,,,,1.5255005546432183,522.532,0.6607576186721578,0.32481833044278263
1,short,345.267,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,1938.988,1072.2153999341735,93.98,ft_long_gen_short,,1801.0,2026-02-05T19:23:38.536243,0.0,,5.615908847355815,2421.174,0.14260313385159432,1.505059396154635
2,short,345.267,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,910.626,523.0494413762431,45.85,ft_default_length_gen_short,,761.5,2026-02-14T00:26:15.479638,0.0,,2.637454491741174,1074.702,0.3212676630358927,0.6680603472390578
3,short,345.267,short,345.267,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,1398.1,725.41,63.59,ft_med_long_gen_short,,1291.0,2026-02-16 15:00:47,,0.0,4.049329938858912,1643.724,0.21005168750958192,1.0217779684090782
4,short,345.267,short,345.267,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,1360.65,885.57,77.62,ft_no_prefix_gen_short,,1225.5,2026-02-17 00:16:46,,0.0,3.940863158077662,1608.69,0.21462618652443913,1.0
5,short,345.267,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,704.398,444.162,27.53,ft_short,2.0,,,,,1.2830728260651774,522.532,0.6607576186721578,0.32481833044278263
6,short,345.267,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,2287.228,1089.1923466569162,95.47,ft_long_gen_short,,2219.5,2026-02-05T16:46:18.717382,0.0,,4.166224341658272,2421.174,0.14260313385159432,1.505059396154635
7,short,345.267,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,1230.46,716.3185523215212,62.79,ft_default_length_gen_short,,1071.0,2026-02-14T00:21:24.481121,0.0,,2.241303623179166,1074.702,0.3212676630358927,0.6680603472390578
8,short,345.267,med_short,548.993,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,1674.31,800.05,70.13,ft_med_long_gen_short,,1583.5,2026-02-16 15:44:28,,0.0,3.049783877025754,1643.724,0.21005168750958192,1.0217779684090782
9,short,345.267,med_short,548.993,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,1503.0,931.52,81.65,ft_no_prefix_gen_short,,1367.5,2026-02-17 00:23:22,,0.0,2.7377398254622554,1608.69,0.21462618652443913,1.0
10,short,345.267,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,1246.969,736.306,45.64,ft_short,2.0,,,,,1.1364068419407434,522.532,0.6607576186721578,0.32481833044278263
11,short,345.267,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,2758.124,1282.3995495258098,112.41,ft_long_gen_short,,2613.0,2026-02-05T16:42:38.134987,0.0,,2.5135757059886576,2421.174,0.14260313385159432,1.505059396154635
12,short,345.267,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,1670.128,930.2141751317272,81.54,ft_default_length_gen_short,,1442.5,2026-02-14T00:15:12.383891,0.0,,1.5220465674101036,1074.702,0.3212676630358927,0.6680603472390578
13,short,345.267,default_length,1097.291,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,2132.91,945.51,82.88,ft_med_long_gen_short,,2011.0,2026-02-16 15:52:41,,0.0,1.943796130652671,1643.724,0.21005168750958192,1.0217779684090782
14,short,345.267,default_length,1097.291,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,1954.11,1122.38,98.38,ft_no_prefix_gen_short,,1823.5,2026-02-17 00:31:17,,0.0,1.7808493827070486,1608.69,0.21462618652443913,1.0
15,short,345.267,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,1794.286,884.883,54.85,ft_short,2.0,,,,,1.061875456063177,522.532,0.6607576186721578,0.32481833044278263
16,short,345.267,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,3234.978,1229.5250943010476,107.77,ft_long_gen_short,,3306.0,2026-02-05T16:38:16.719206,0.0,,1.9144906325437214,2421.174,0.14260313385159432,1.505059396154635
17,short,345.267,med_long,1689.733,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,2186.46,993.5023082006404,87.08,ft_default_length_gen_short,,2117.0,2026-02-14T00:07:22.240881,0.0,,1.2939677451999814,1074.702,0.3212676630358927,0.6680603472390578
18,short,345.267,med_long,1689.733,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,2609.36,975.37,85.49,ft_med_long_gen_short,,2584.0,2026-02-16 16:01:20,,0.0,1.5442439722725425,1643.724,0.21005168750958192,1.0217779684090782
19,short,345.267,med_long,1689.733,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,2479.13,1236.59,108.39,ft_no_prefix_gen_short,,2408.0,2026-02-17 00:40:12,,0.0,1.4671726243140188,1608.69,0.21462618652443913,1.0
20,short,345.267,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,2558.319,1280.541,79.37,ft_short,2.0,,,,,1.0363281291141107,522.532,0.6607576186721578,0.32481833044278263
21,short,345.267,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,3813.958,1438.560526441623,126.1,ft_long_gen_short,,3783.0,2026-02-05T16:28:44.585305,0.0,,1.5449644702868546,2421.174,0.14260313385159432,1.505059396154635
22,short,345.267,long,2468.638,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,2934.336,1361.5499914083214,119.35,ft_default_length_gen_short,,2922.5,2026-02-13T23:48:24.353009,0.0,,1.1886457228641867,1074.702,0.3212676630358927,0.6680603472390578
23,short,345.267,long,2468.638,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,3272.1,1266.88,111.05,ft_med_long_gen_short,,3339.5,2026-02-16 16:11:59,,0.0,1.3254677275485511,1643.724,0.21005168750958192,1.0217779684090782
24,short,345.267,long,2468.638,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,2944.31,1503.29,131.77,ft_no_prefix_gen_short,,2976.0,2026-02-17 00:50:43,,0.0,1.192686007425957,1608.69,0.21462618652443913,1.0
25,short,345.267,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,4594.474,1804.767,111.86,ft_short,2.0,,,,,0.9788274243665389,522.532,0.6607576186721578,0.32481833044278263
26,short,345.267,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,5518.216,1715.4284809761089,150.36,ft_long_gen_short,,5488.5,2026-02-05T16:23:37.048876,0.0,,1.1756255785489753,2421.174,0.14260313385159432,1.505059396154635
27,short,345.267,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,4980.808,1931.734710340941,169.32,ft_default_length_gen_short,,4891.0,2026-02-13T23:36:44.707812,0.0,,1.0611337589252332,1074.702,0.3212676630358927,0.6680603472390578
28,short,345.267,very_long,4693.855,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,4858.28,1595.55,139.86,ft_med_long_gen_short,,4789.5,2026-02-16 16:26:33,,0.0,1.0350298422085897,1643.724,0.21005168750958192,1.0217779684090782
29,short,345.267,very_long,4693.855,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,4662.34,1905.57,167.03,ft_no_prefix_gen_short,,4654.5,2026-02-17 01:06:18,,0.0,0.9932859025257492,1608.69,0.21462618652443913,1.0
30,short,345.267,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::Cxqq98xE,finetuned,med_short,1000,1709.03,1062.028,65.83,ft_short,2.0,,,,,1.0285150645624104,522.532,0.6607576186721578,0.32481833044278263
31,short,345.267,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5oSAC1k,finetuned,long,500,3078.482,1448.34967935095,126.95,ft_long_gen_short,,2993.5,2026-02-05T16:33:40.961666,0.0,,1.852667953742309,2421.174,0.14260313385159432,1.505059396154635
32,short,345.267,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D8jNqm7W,finetuned,default_length,500,2240.958,1253.2192722089778,109.85,ft_default_length_gen_short,,2132.5,2026-02-13T23:58:30.771186,0.0,,1.348635812157569,1074.702,0.3212676630358927,0.6680603472390578
33,short,345.267,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-short:D94YVc9P,fine-tuned,med_long,500,2462.46,1182.51,103.65,ft_med_long_gen_short,,2391.0,2026-02-16 16:35:17,,0.0,1.4819384129490722,1643.724,0.21005168750958192,1.0217779684090782
34,short,345.267,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-short:DA1ZrNnv,fine-tuned,no_prefix,500,2333.58,1325.97,116.23,ft_no_prefix_gen_short,,2250.5,2026-02-17 01:15:38,,0.0,1.4043768595996264,1608.69,0.21462618652443913,1.0
35,med_short,548.993,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::CxqtE1HX,finetuned,med_short,1000,371.476,260.443,16.14,ft_med_short,2.0,,,,,1.0759093686914765,522.532,1.0506399608062282,0.32481833044278263
36,med_short,548.993,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5o9nPnl,finetuned,long,500,976.52,645.5095054296257,56.58,ft_long_gen_med_short,,773.5,2026-02-05T20:02:12.365436,0.0,,2.8283038923499784,2421.174,0.2267466113546569,1.505059396154635
